Ribes,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,,,,,1,,1
Rubiaceae,TRSH,pollen,NISP,,,1,,1,2,,,1,1,1,2,,,1,1,,1,1,,,,,,,,,,,,1,,,,,,,,,1,,2,2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,6,4,1,4,2,3,,,1,2,2,2,
Rubus-type,TRSH,pollen,NISP,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salix,TRSH,pollen,NISP,,9,7,3,3,10,5,10,11,5,8,6,12,12,8,23,15,34,7,6,1,1,2,,2,,3,1,1,2,1,2,2,,2,1,,2,1,5,2,,2,2,2,2,4,3,2,1,1,3,1,1,,,1,2,,2,1,,,,5,2,5,1,3,4,4,12,4,1,10,7,29,22,26,31,42,42,48,14,14,22,8,26,15,3
Salix polaris-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,4,3,11,4,3,,1,13,1,,
Sambucus cf. S. racemosa,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Sambucus nigra,TRSH,pollen,NISP,,2,2,,,1,1,,,,,1,,,,,,2,,,,,1,,1,,,,,,,2,,,,,,,,,2,,,,1,,1,1,2,,,,,,,,,,1,,,1,,,,,,1,,,,2,,1,,,,,,,,,,,,,,,,
Sorbus aucuparia,TRSH,pollen,NISP,,,,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taxus,TRSH,pollen,NISP,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,1,1,,,1,,,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilia cordata,TRSH,pollen,NISP,,,1,,1,,1,,,1,,1,1,,2,,,,,,1,3,,1,,1,,1,,,4,1,3,4,7,15,12,10,18,9,11,15,13,8,10,33,56,49,44,29,47,77,54,82,63,59,48,72,87,88,50,38,39,36,30,11,7,11,10,2,1,,,,,,,,,,,,,,,,,,,
Tilia platyphyllos,TRSH,pollen,NISP,,,,,1,,,,,,,,,,,,,,1,,,,,,,2,,3,,,,,3,1,1,4,3,5,7,2,2,5,2,4,4,17,20,6,15,28,25,22,20,10,19,15,14,15,16,19,15,14,14,6,11,3,6,,4,1,,,,,,,,,,,,,,,,,,,,
Ulmus,TRSH,pollen,NISP,,3,1,1,,,2,2,1,6,9,8,11,3,5,6,6,1,5,3,3,1,4,10,6,6,1,7,3,2,6,2,,5,7,12,10,5,5,11,6,7,12,9,6,33,17,23,29,24,30,14,17,40,56,37,40,19,26,16,14,17,44,47,52,30,50,27,45,20,18,24,12,12,4,1,1,,,,,1,1,,1,,,,2,
Viburnum,TRSH,pollen,NISP,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viscum,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,1,,1,1,1,,1,,3,1,1,1,1,,,,1,3,,,1,,,,,,,,,,,,,,,,,,,,
