name,group,element,units,context,S243476,S243477,S243478,S243479,S243480,S243481,S243482,S243483,S243484,S243485,S243486,S243487,S243488,S243489,S243490,S243491,S243492,S243493,S243494,S243495,S243496,S243497,S243498,S243499,S243500,S243501,S243502,S243503,S243504,S243505,S243506,S243507,S243508,S243509,S243510,S243511,S243512,S243513,S243514,S243515,S243516,S243517,S243518,S243519,S243520,S243521,S243522,S243523,S243524,S243525,S243526,S243527,S243528,S243529,S243530,S243531,S243532,S243533,S243534,
Humulus/Cannabis,UPHE,pollen,NISP,,,,,,1,,1,1,1,,,,,,,,2,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,
Jasminum,UPHE,pollen,NISP,,1,,,,,,,,,,,,,1,2,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Juglans,TRSH,pollen,NISP,,,,1,3,5,2,,4,2,2,2,3,,1,,1,,,2,2,1,1,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,1,
Juniperus,TRSH,pollen,NISP,,25,30,20,24,12,1,7,3,,4,1,,,1,1,,,1,,2,1,,,,,2,2,,1,,,3,3,,7,4,4,6,1,,3,1,,,3,,1,4,2,4,,1,1,1,2,5,,9,,
Lamiaceae,UPHE,pollen,NISP,,,,2,,1,1,10,2,1,2,,,,,,1,,1,1,1,,,,2,,,,,,,1,,,,,2,,,2,,,,,2,,1,,,,2,2,2,,5,3,5,3,2,16,
Ligustrum,TRSH,pollen,NISP,,1,,,,,,1,,,1,,1,2,1,,,,,3,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,1,1,1,,1,,
Liliaceae,UPHE,pollen,NISP,,2,2,2,5,1,3,1,1,1,1,1,,5,,1,3,1,1,,1,,,,,1,1,2,1,,1,1,1,4,1,1,,,1,,2,2,3,2,,,1,1,,,,,,1,2,,,,4,,
Loranthus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Lycopodium spike,LABO,counted,number,,174,189,425,167,506,1408,340,216,222,332,295,893,1026,324,445,267,218,452,268,217,145,377,305,662,357,387,375,105,95,176,139,196,163,107,290,725,313,269,94,79,198,189,283,732,210,231,435,321,140,567,352,442,534,420,115,314,679,99,254,
Lycopodium spike,LABO,quantity added,number,,21700,21700,40500,21700,21700,21700,21700,21700,21700,40500,21700,32550,21700,21700,21700,21700,21700,32550,21700,32550,21700,21700,21700,32550,21700,40500,21700,21700,21700,32550,21700,21700,21700,21700,40500,21700,32550,32550,32550,21700,32550,32550,21700,40500,21700,21700,21700,32550,32550,40500,21700,32550,32550,40500,21700,32550,40500,21700,21700,
Lythrum,UPHE,pollen,NISP,,4,1,11,,3,3,4,,7,10,,2,,,,,,1,,,,,,,,,5,,1,1,,2,,,,,,,2,3,,,1,,,1,,1,1,1,1,1,,2,,6,,4,2,
Malvaceae,UPHE,pollen,NISP,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercurialis annua,UPHE,pollen,NISP,,3,3,5,2,1,,2,1,1,,,1,1,,,,,,1,6,5,1,2,2,5,5,2,2,4,4,2,1,4,2,1,3,11,4,2,3,7,5,3,1,2,2,4,4,,7,1,4,3,13,19,3,16,8,5,
Myriophyllum verticillatum-type,AQVP,pollen,NISP,,,,,,,2,7,3,5,11,1,2,,1,,1,31,47,9,17,2,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Myrtus/Eucalyptus,TRSH,pollen,NISP,,5,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,
Nigella-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nymphaea,AQVP,pollen,NISP,,,,,,1,1,3,7,4,,,2,19,1,1,20,,,1,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olea,TRSH,pollen,NISP,,37,41,29,16,8,10,19,34,25,27,32,32,74,45,58,69,37,41,141,75,13,22,28,15,25,11,6,14,7,46,15,9,8,18,14,6,8,7,6,,,,1,,,,2,1,,1,2,1,,,,,,1,,
Oleaceae,TRSH,pollen,NISP,,4,7,2,6,,,2,,,,1,2,1,,5,1,5,2,,,,,4,,,,,3,1,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,
Ophioglossum,VACR,spore,NISP,,,,,,,,,,,,,,1,3,1,1,,1,1,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,6,,,
Ostrya carpinifolia/Carpinus orientalis,TRSH,pollen,NISP,,,3,5,3,,1,4,3,9,5,9,9,1,5,9,12,9,14,34,24,16,23,18,11,19,7,5,8,17,15,18,16,36,43,58,44,44,72,31,14,16,31,6,14,11,9,9,2,6,16,10,10,4,13,15,10,15,14,9,
Phillyrea,TRSH,pollen,NISP,,15,13,29,19,1,7,3,14,11,12,4,13,4,24,30,29,22,40,16,58,21,10,13,33,9,11,3,15,9,9,2,13,20,5,5,1,13,14,4,2,3,7,6,,3,1,6,2,2,4,3,14,8,28,40,16,19,14,1,
Picea,TRSH,pollen,NISP,,,,,1,3,,,,1,,,1,4,1,1,,2,,4,,1,1,1,,,,2,2,1,,1,4,2,3,,,,1,,,,1,,,,,,,,,1,,2,,,1,,,,
Pinus,TRSH,pollen,NISP,,147,112,96,111,119,144,80,54,70,50,63,140,170,97,58,61,69,71,46,47,69,95,75,87,66,47,104,149,47,94,160,118,95,102,88,59,93,100,54,17,24,39,56,25,29,13,19,13,44,29,33,56,45,33,44,44,31,31,48,
Pistacia,TRSH,pollen,NISP,,4,7,19,16,22,6,15,16,12,12,9,1,,3,9,1,2,3,5,5,8,3,,3,17,11,13,4,,1,2,2,6,5,3,4,2,10,5,3,8,9,3,1,3,3,7,8,4,5,9,9,15,24,34,30,30,17,20,
Plantago,UPHE,pollen,NISP,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantago coronopus-type,UPHE,pollen,NISP,,,,1,,,,1,3,2,1,,,,1,,1,1,1,1,1,,,,1,,,2,,,,,,,,,,1,1,,,,1,,,,,,,,,,2,,,,,,1,,
Plantago holosteum-type,UPHE,pollen,NISP,,,,,,,,,1,,,1,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,1,,1,,,,,,,,,1,1,,,1,2,,,,,
Plantago lagopus-type,UPHE,pollen,NISP,,1,,1,,,1,,1,,,,,,,1,,1,3,1,,,,,,,,1,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,
Plantago lanceolata-type,UPHE,pollen,NISP,,3,2,4,3,1,,13,6,5,8,1,,,,,2,2,3,5,6,6,,3,,1,,,1,3,1,,2,,2,1,,3,2,2,,1,3,,1,,2,,,,1,1,22,2,2,2,,,,3,
Plantago major-type,UPHE,pollen,NISP,,,,3,,1,,1,2,,3,,1,,,,,2,1,1,2,2,,2,1,1,,,,1,,1,1,,,4,1,1,3,1,,,,,1,1,,2,,1,2,1,5,,3,4,1,,1,2,
Plantago maritima-type,UPHE,pollen,NISP,,,,,,,1,,,,1,,,,,,1,,,,1,,1,,,1,1,,1,,,,4,,,1,,,,,,,,,,,,,,,,,,,,1,1,,3,,
Platanus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Plumbaginaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,1,2,,4,8,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Poaceae,UPHE,pollen,NISP,,298,119,191,199,210,173,341,302,270,390,86,106,77,156,140,51,73,34,101,98,150,115,66,29,46,120,63,57,60,57,150,117,64,54,60,65,1013,137,87,70,84,71,86,94,133,107,94,74,74,145,317,1168,69,235,263,673,1829,726,244,
Poaceae (Cerealia-type),UPHE,pollen,NISP,,1,,1,,7,7,2,,2,,1,,,2,2,,2,2,4,1,1,2,4,2,1,,,2,1,,1,,,2,,2,1,3,,,3,,2,1,,1,,2,2,,1,3,,1,2,1,2,,7,
Polycnemum,UPHE,pollen,NISP,,,,,,,1,,,1,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polygonum aviculare,UPHE,pollen,NISP,,3,,1,,,,1,,,1,,,1,15,7,,,5,4,5,4,,2,,1,1,,,,1,,,2,,,1,,2,1,,,,,,,,,,,,1,2,1,,,2,12,,20,
Polypodiophyta,VACR,spore,NISP,,1,3,,1,4,9,10,3,2,2,3,1,14,3,19,8,9,4,9,4,5,5,3,4,5,1,6,2,9,174,64,106,11,2,2,3,7,8,3,28,55,27,14,24,16,7,44,16,19,43,6,12,25,26,6,71,6,11,20,
Polypodium,VACR,spore,NISP,,,,,,1,,,,,,,,7,,,,4,,5,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,
