"name","group","element","units","context","S620864","S620874","S620889","S620898","S620911","S620927","S620944","S620956","S620968","S620867","S620868","S620876","S620877","S620886","S620887","S620896","S620900","S620905","S620916","S620918","S620928","S620929","S620940","S620942","S620947","S620954","S620957","S620965","S620967","S620976","S620865","S620881","S620890","S620897","S620908","S620917","S620923","S620932","S620936","S620948","S620959","S620966","S620975","S620870","S620869","S620878","S620879","S620885","S620888","S620895","S620902","S620907","S620910","S620919","S620922","S620924","S620933","S620934","S620941","S620943","S620951","S620955","S620961","S620964","S620971","S620974","S620872","S620882","S620894","S620904","S620912","S620926","S620939","S620950","S620962","S620972","S620866","S620875","S620884","S620893","S620903","S620906","S620914","S620920","S620930","S620938","S620945","S620953","S620960","S620970","S620871","S620880","S620891","S620901","S620913","S620925","S620937","S620949","S620958","S620969","S620863","S620873","S620883","S620892","S620899","S620909","S620915","S620921","S620931","S620935","S620946","S620952","S620963","S620973"
Ceratonia,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Ceratophyllum,AQVP,spine,NISP,,158,940,,9,90,435,,,,27,253,572,783,307,29,39,,163,81,84,1,8,42,188,22,50,83,,12,,370,1077,278,9,93,98,22,256,27,,45,,,230,264,566,699,,100,11,3,25,2,55,8,221,119,,,,24,36,,39,,,99,124,206,2,104,,,18,,,249,605,,165,,13,86,2,,,35,39,,,275,655,,,35,,545,18,110,,182,192,752,114,1,133,7,6,15,3,,20,,
Cercophora-type,FUNG,spore,NISP,,,4,,1,,1,7,,,,,2,1,,,,,,,,2,7,2,3,4,1,1,,4,,4,3,2,,1,,4,2,,4,,,10,,,,2,,,1,,1,,,3,18,2,6,5,1,3,3,,3,,,,1,2,,,21,4,1,1,1,,16,2,,,,,,1,10,7,1,,5,1,1,,,,1,2,2,,1,,2,,1,,,2,7,2,2,3,1,,
Chaerophyllum temulum-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,1,,
Chamaerops,PALM,pollen,NISP,,,,,,,,,,,1,,3,2,,,3,,,,,1,2,,,,1,,,,,,2,,4,,,6,,,,,,,,,,2,,,,4,2,2,,1,,,5,,,,,,,2,,2,,,3,,,,,,,,2,,3,,4,2,5,1,1,,,,,,,,,,7,,,,,,,,1,2,,1,1,6,4,1,,,
Cheilanthes,VACR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cichorioideae,UPHE,pollen,NISP,,2,17,5,1,11,5,7,3,,12,17,12,9,5,3,4,8,7,4,3,3,6,17,4,32,4,10,3,1,15,13,9,4,3,4,8,2,4,28,35,1,3,4,11,11,10,7,5,5,2,6,2,3,1,,7,7,3,3,59,14,8,3,2,3,4,4,12,14,4,2,3,22,15,2,4,10,30,13,5,14,4,,4,,16,53,4,6,3,11,10,5,5,,7,3,53,2,2,12,34,6,10,5,15,3,,38,5,63,9,4,3
Cistus,TRSH,pollen,NISP,,,13,4,9,,,4,9,1,8,13,4,9,10,10,14,6,9,2,1,1,12,2,2,10,5,4,7,8,1,8,4,11,12,5,2,1,7,10,6,1,4,2,10,6,7,7,12,11,10,10,10,5,3,4,2,4,2,2,8,13,9,1,4,6,4,7,6,13,3,2,4,4,12,4,5,7,40,6,5,15,4,,3,8,6,2,6,7,6,10,5,12,7,4,3,1,13,5,2,2,27,6,7,13,5,3,6,,2,17,5,4,2
Citrus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,
Cladium mariscus,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,2,19,39,98,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,18,20,,71,,,,,,,,,,12,,,,,,,,,,,,,,36,,,,,,,,,4,12,93,,,,,,,,,,,,,14,,
Coelastrum reticulatum,ALGA,palynomorph,NISP,,,,,,,,,,,,,,,,,,,,,,,,2,,3276,4013,50,,,,,,,,,,,,,,1368,,,,,,,,,,,,,,,,,,,,1563,2590,,160,,,,,,,,,,448,,,,,,,11,,,,,,219,2936,,,,,,,,,,1180,77,,,,,,,,,,,,1,2850,,
Colchicum,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
Coniochaeta,FUNG,spore,NISP,,4,1,,2,,,1,,,1,3,,,,,1,,,,,,7,,,,,,,13,,16,,3,,,,,,,5,,1,4,1,,1,8,,,1,,8,,,1,,,5,3,,,,1,,1,,2,,,,,,6,,2,18,1,31,1,1,,1,,,,6,,,1,9,13,,,,,2,,,,1,,1,,,,,4,2,2,,3,,,14
Convolvulus-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Cornus sanguinea,TRSH,pollen,NISP,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Corrigiola litoralis,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Corydalis,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
